# call qx qy qz carve_dist ground_y above_ground path_m path_measured darkness
364 806.206 26.608 292.922 +1.177809 26.559 1 0.000 0 0.000000
365 806.228 26.617 292.909 +1.172598 26.568 1 0.000 0 0.000000
366 806.228 26.617 292.909 +1.172598 26.568 1 0.000 0 0.000000
367 806.250 26.626 292.896 +1.167374 26.577 1 0.000 0 0.000000
368 806.250 26.626 292.896 +1.167374 26.577 1 0.000 0 0.000000
369 806.272 26.635 292.883 +1.162161 26.586 1 0.000 0 0.000000
370 806.272 26.635 292.883 +1.162161 26.586 1 0.000 0 0.000000
371 806.294 26.644 292.870 +1.156935 26.595 1 0.000 0 0.000000
372 806.294 26.644 292.870 +1.156935 26.595 1 0.000 0 0.000000
373 806.315 26.653 292.857 +1.151707 26.604 1 0.000 0 0.000000
