tick,eye_x,eye_y,eye_z,yaw,pitch,hit,distance_m,verb,prompt_key,entity
81,128.5360,20.9913,129.3513,3.1666,0.0000,0,0.0000,0,0,4294967295
82,128.5349,20.9911,129.3813,3.1666,0.0000,0,0.0000,0,0,4294967295
83,128.5336,20.9915,129.4114,3.1666,0.0000,0,0.0000,0,0,4294967295
84,128.5321,20.9924,129.4414,3.1666,0.0000,0,0.0000,0,0,4294967295
85,128.5305,20.9936,129.4714,3.1666,0.0000,0,0.0000,0,0,4294967295
86,128.5287,20.9950,129.5014,3.1666,0.0000,0,0.0000,0,0,4294967295
87,128.5267,20.9966,129.5314,3.1666,0.0000,0,0.0000,0,0,4294967295
88,128.5246,20.9983,129.5614,3.1666,0.0000,0,0.0000,0,0,4294967295
89,128.5223,20.9999,129.5914,3.1666,0.0000,0,0.0000,0,0,4294967295
90,128.5200,21.0014,129.6215,3.1666,0.0000,0,0.0000,0,0,4294967295
91,128.5176,21.0023,129.6515,3.1666,0.0000,0,0.0000,0,0,4294967295
92,128.5150,21.0018,129.6814,3.1666,0.0000,0,0.0000,0,0,4294967295
93,128.5123,21.0007,129.7113,3.1666,0.0000,0,0.0000,0,0,4294967295
